elapsed_s,inference_extension_flow_control_queue_bytes|premium-tenant-a,inference_extension_flow_control_queue_bytes|premium-tenant-b,inference_extension_flow_control_queue_bytes|standard-tenant-a,inference_extension_flow_control_queue_bytes|sweep-standard,inference_extension_flow_control_queue_bytes|warmup-standard,inference_extension_flow_control_queue_size|premium-tenant-a,inference_extension_flow_control_queue_size|premium-tenant-b,inference_extension_flow_control_queue_size|standard-tenant-a,inference_extension_flow_control_queue_size|sweep-standard,inference_extension_flow_control_queue_size|warmup-standard,run_id,scenario,vllm:num_requests_running,vllm:num_requests_waiting
113.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,13.0,0.0
114.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,14.0,0.0
115.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,10.0,0.0
116.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,12.0,0.0
117.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,11.0,0.0
118.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,15.0,0.0
119.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,11.0,0.0
120.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,10.0,0.0
121.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,16.0,0.0
122.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,15.0,0.0
123.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,12.0,0.0
124.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,13.0,0.0
125.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,14.0,0.0
126.881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,14.0,0.0
127.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,18.0,0.0
128.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,18.0,0.0
129.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,17.0,0.0
131.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,18.0,0.0
132.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,19.0,0.0
133.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,18.0,0.0
134.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,19.0,0.0
135.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,19.0,0.0
136.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,16.0,0.0
137.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,16.0,0.0
138.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,17.0,0.0
139.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,16.0,0.0
140.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,15.0,0.0
141.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,18.0,0.0
142.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,20.0,0.0
143.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,16.0,0.0
144.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,17.0,0.0
145.461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,22.0,0.0
146.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,23.0,0.0
147.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,21.0,0.0
148.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,19.0,0.0
149.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,18.0,0.0
150.623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,25.0,0.0
151.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,13.0,0.0
152.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,26.0,0.0
153.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,25.0,0.0
154.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,26.0,0.0
155.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,24.0,0.0
156.823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,21.0,0.0
157.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,21.0,0.0
158.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,24.0,0.0
159.932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,17.0,0.0
160.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,26.0,0.0
161.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,25.0,0.0
163.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,26.0,0.0
164.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,27.0,0.0
165.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,13.0,0.0
166.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,25.0,0.0
