elapsed_s,run_id,scenario,vllm:num_requests_running,vllm:num_requests_waiting
199.725,02-test2_priority_noisy-r02,test2_priority_noisy,125.0,0.0
200.776,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,4.0
201.825,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,10.0
202.864,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,7.0
203.917,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,1.0
204.956,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,7.0
205.994,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,18.0
207.043,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,21.0
208.086,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,9.0
209.126,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,1.0
210.212,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,17.0
211.243,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,14.0
212.282,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,23.0
213.335,02-test2_priority_noisy-r02,test2_priority_noisy,124.0,10.0
214.377,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,5.0
215.411,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,6.0
216.449,02-test2_priority_noisy-r02,test2_priority_noisy,125.0,0.0
217.511,02-test2_priority_noisy-r02,test2_priority_noisy,126.0,8.0
218.538,02-test2_priority_noisy-r02,test2_priority_noisy,127.0,2.0
219.585,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,11.0
220.632,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,1.0
221.68,02-test2_priority_noisy-r02,test2_priority_noisy,123.0,20.0
222.731,02-test2_priority_noisy-r02,test2_priority_noisy,124.0,1.0
223.78,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,27.0
224.832,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,18.0
225.881,02-test2_priority_noisy-r02,test2_priority_noisy,83.0,0.0
226.924,02-test2_priority_noisy-r02,test2_priority_noisy,35.0,0.0
227.948,02-test2_priority_noisy-r02,test2_priority_noisy,32.0,0.0
228.973,02-test2_priority_noisy-r02,test2_priority_noisy,34.0,0.0
230.0,02-test2_priority_noisy-r02,test2_priority_noisy,34.0,0.0
231.023,02-test2_priority_noisy-r02,test2_priority_noisy,31.0,0.0
232.048,02-test2_priority_noisy-r02,test2_priority_noisy,27.0,0.0
233.07,02-test2_priority_noisy-r02,test2_priority_noisy,33.0,0.0
234.098,02-test2_priority_noisy-r02,test2_priority_noisy,30.0,0.0
235.12,02-test2_priority_noisy-r02,test2_priority_noisy,34.0,0.0
236.144,02-test2_priority_noisy-r02,test2_priority_noisy,33.0,0.0
237.169,02-test2_priority_noisy-r02,test2_priority_noisy,26.0,0.0
238.207,02-test2_priority_noisy-r02,test2_priority_noisy,25.0,0.0
239.231,02-test2_priority_noisy-r02,test2_priority_noisy,29.0,0.0
240.264,02-test2_priority_noisy-r02,test2_priority_noisy,29.0,0.0
241.289,02-test2_priority_noisy-r02,test2_priority_noisy,29.0,0.0
242.314,02-test2_priority_noisy-r02,test2_priority_noisy,30.0,0.0
243.338,02-test2_priority_noisy-r02,test2_priority_noisy,29.0,0.0
244.368,02-test2_priority_noisy-r02,test2_priority_noisy,31.0,0.0
245.392,02-test2_priority_noisy-r02,test2_priority_noisy,30.0,0.0
246.414,02-test2_priority_noisy-r02,test2_priority_noisy,33.0,0.0
247.439,02-test2_priority_noisy-r02,test2_priority_noisy,31.0,0.0
248.466,02-test2_priority_noisy-r02,test2_priority_noisy,31.0,0.0
249.492,02-test2_priority_noisy-r02,test2_priority_noisy,33.0,0.0
250.516,02-test2_priority_noisy-r02,test2_priority_noisy,34.0,0.0
251.538,02-test2_priority_noisy-r02,test2_priority_noisy,36.0,0.0
252.567,02-test2_priority_noisy-r02,test2_priority_noisy,33.0,0.0
253.591,02-test2_priority_noisy-r02,test2_priority_noisy,36.0,0.0
254.617,02-test2_priority_noisy-r02,test2_priority_noisy,36.0,0.0
255.64,02-test2_priority_noisy-r02,test2_priority_noisy,35.0,0.0
256.665,02-test2_priority_noisy-r02,test2_priority_noisy,35.0,0.0
257.689,02-test2_priority_noisy-r02,test2_priority_noisy,39.0,0.0
258.716,02-test2_priority_noisy-r02,test2_priority_noisy,38.0,0.0
259.738,02-test2_priority_noisy-r02,test2_priority_noisy,38.0,0.0
260.768,02-test2_priority_noisy-r02,test2_priority_noisy,35.0,0.0
261.794,02-test2_priority_noisy-r02,test2_priority_noisy,35.0,0.0
262.818,02-test2_priority_noisy-r02,test2_priority_noisy,30.0,0.0
263.841,02-test2_priority_noisy-r02,test2_priority_noisy,30.0,0.0
264.87,02-test2_priority_noisy-r02,test2_priority_noisy,31.0,0.0
265.899,02-test2_priority_noisy-r02,test2_priority_noisy,32.0,0.0
266.922,02-test2_priority_noisy-r02,test2_priority_noisy,31.0,0.0
267.95,02-test2_priority_noisy-r02,test2_priority_noisy,32.0,0.0
268.977,02-test2_priority_noisy-r02,test2_priority_noisy,32.0,0.0
270.006,02-test2_priority_noisy-r02,test2_priority_noisy,29.0,0.0
271.028,02-test2_priority_noisy-r02,test2_priority_noisy,29.0,0.0
272.052,02-test2_priority_noisy-r02,test2_priority_noisy,28.0,0.0
273.076,02-test2_priority_noisy-r02,test2_priority_noisy,29.0,0.0
274.102,02-test2_priority_noisy-r02,test2_priority_noisy,28.0,0.0
275.126,02-test2_priority_noisy-r02,test2_priority_noisy,27.0,0.0
276.149,02-test2_priority_noisy-r02,test2_priority_noisy,29.0,0.0
277.171,02-test2_priority_noisy-r02,test2_priority_noisy,31.0,0.0
278.193,02-test2_priority_noisy-r02,test2_priority_noisy,32.0,0.0
279.22,02-test2_priority_noisy-r02,test2_priority_noisy,31.0,0.0
280.245,02-test2_priority_noisy-r02,test2_priority_noisy,36.0,0.0
281.269,02-test2_priority_noisy-r02,test2_priority_noisy,33.0,0.0
282.292,02-test2_priority_noisy-r02,test2_priority_noisy,33.0,0.0
283.323,02-test2_priority_noisy-r02,test2_priority_noisy,34.0,0.0
284.348,02-test2_priority_noisy-r02,test2_priority_noisy,32.0,0.0
285.373,02-test2_priority_noisy-r02,test2_priority_noisy,35.0,0.0
286.398,02-test2_priority_noisy-r02,test2_priority_noisy,35.0,0.0
287.421,02-test2_priority_noisy-r02,test2_priority_noisy,35.0,0.0
288.446,02-test2_priority_noisy-r02,test2_priority_noisy,36.0,0.0
289.473,02-test2_priority_noisy-r02,test2_priority_noisy,38.0,0.0
290.497,02-test2_priority_noisy-r02,test2_priority_noisy,35.0,0.0
291.521,02-test2_priority_noisy-r02,test2_priority_noisy,36.0,0.0
292.546,02-test2_priority_noisy-r02,test2_priority_noisy,36.0,0.0
293.571,02-test2_priority_noisy-r02,test2_priority_noisy,34.0,0.0
294.595,02-test2_priority_noisy-r02,test2_priority_noisy,34.0,0.0
295.619,02-test2_priority_noisy-r02,test2_priority_noisy,34.0,0.0
296.645,02-test2_priority_noisy-r02,test2_priority_noisy,31.0,0.0
297.67,02-test2_priority_noisy-r02,test2_priority_noisy,29.0,0.0
298.696,02-test2_priority_noisy-r02,test2_priority_noisy,27.0,0.0
299.727,02-test2_priority_noisy-r02,test2_priority_noisy,30.0,0.0
300.753,02-test2_priority_noisy-r02,test2_priority_noisy,2.0,0.0
