elapsed_s,inference_extension_flow_control_queue_bytes|batch-tenant-a,inference_extension_flow_control_queue_bytes|premium-tenant-a,inference_extension_flow_control_queue_bytes|premium-tenant-b,inference_extension_flow_control_queue_bytes|premium-tenant-c,inference_extension_flow_control_queue_bytes|smoke,inference_extension_flow_control_queue_bytes|standard-tenant-a,inference_extension_flow_control_queue_bytes|standard-tenant-b,inference_extension_flow_control_queue_bytes|sweep-standard,inference_extension_flow_control_queue_bytes|warmup-standard,inference_extension_flow_control_queue_size|batch-tenant-a,inference_extension_flow_control_queue_size|premium-tenant-a,inference_extension_flow_control_queue_size|premium-tenant-b,inference_extension_flow_control_queue_size|premium-tenant-c,inference_extension_flow_control_queue_size|smoke,inference_extension_flow_control_queue_size|standard-tenant-a,inference_extension_flow_control_queue_size|standard-tenant-b,inference_extension_flow_control_queue_size|sweep-standard,inference_extension_flow_control_queue_size|warmup-standard,run_id,scenario,vllm:num_requests_running,vllm:num_requests_waiting
132.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,128.0,32.0
133.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,113.0,25.0
134.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,128.0,0.0
135.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,126.0,5.0
136.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,124.0,22.0
137.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,128.0,0.0
138.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,128.0,2.0
139.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,120.0,28.0
140.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,123.0,26.0
141.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,124.0,6.0
142.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,128.0,32.0
143.527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,126.0,29.0
144.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,128.0,0.0
145.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,125.0,31.0
146.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,126.0,11.0
147.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,125.0,20.0
148.709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,128.0,26.0
149.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,114.0,24.0
150.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,128.0,5.0
151.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,128.0,0.0
152.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,125.0,32.0
153.918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,128.0,26.0
154.962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,128.0,9.0
155.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,128.0,32.0
157.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,118.0,27.0
158.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,124.0,0.0
159.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,126.0,32.0
160.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,125.0,16.0
161.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,128.0,32.0
162.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,126.0,4.0
163.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,128.0,7.0
164.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,124.0,14.0
165.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,119.0,0.0
166.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,122.0,28.0
167.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,123.0,28.0
168.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,121.0,22.0
169.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,125.0,14.0
170.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,126.0,6.0
171.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,124.0,0.0
172.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,126.0,2.0
173.637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,119.0,32.0
